Tables of exospheric zonal harmonic expansion coefficients from
Hodges, R.R., "Monte Carlo Simulation of the terestrial exosphere"
               J. Geophys. Res., 99, 23229-23247, 1994

_________________________________________________________________________________________________________
Table 2.  Equinox, F10.7 = 80
radius    N      A10   A11   B11   A20   A21   B21   A22   B22   A30   A31   B31   A32   B32   A33   B33 
 6640  120398      0 -2443 -4528 -2690     0     0  -110   -27     0  -384   323     0     0  -141   393
 6648  115612      0 -2358 -4505 -2601     0     0  -119   -48     0  -369   329     0     0  -168   382
 6663  107721      0 -2309 -4415 -2509     0     0  -103   -62     0  -410   325     0     0  -127   372
 6686   99018      0 -2179 -4391 -2468     0     0  -148   -24     0  -432   331     0     0  -144   311
 6717   90436      0 -2101 -4328 -2422     0     0  -101   -29     0  -422   292     0     0  -124   307
 6756   82545      0 -2089 -4285 -2331     0     0   -58   -39     0  -407   236     0     0  -119   258
 6803   75207      0 -1931 -4217 -2282     0     0   -35   -35     0  -392   183     0     0   -80   275
 6859   68654      0 -1846 -4113 -2226     0     0   -44   -47     0  -341   207     0     0  -115   213
 6925   62364      0 -1760 -3972 -2200     0     0   -30   -88     0  -316   192     0     0  -110   192
 7000   56460      0 -1695 -3846 -2081     0     0   -24   -33     0  -345   169     0     0   -63   174
 7085   51132      0 -1699 -3745 -2001     0     0    43   -73     0  -372   158     0     0   -89   182
 7182   46095      0 -1575 -3610 -1988     0     0    38   -75     0  -352    98     0     0   -94   145
 7290   41336      0 -1437 -3474 -1920     0     0    49   -33     0  -316    56     0     0   -76   139
 7410   36928      0 -1339 -3318 -1808     0     0    11   -40     0  -317   -19     0     0   -31   151
 7545   32736      0 -1246 -3132 -1693     0     0    26   -18     0  -326    -6     0     0    17   141
 7695   28787      0 -1097 -2947 -1637     0     0    32   -48     0  -237   -24     0     0     2   133
 7861   25125      0 -1040 -2769 -1454     0     0    -7   -32     0  -235   -38     0     0     6   146
 8046   21820      0  -868 -2550 -1289     0     0   -16   -12     0  -216   -33     0     0   -25   151
 8252   18796      0  -751 -2357 -1215     0     0    42   -36     0  -208  -131     0     0     8   164
 8481   16118      0  -645 -2170 -1206     0     0    48   -42     0  -192  -110     0     0   -27   155
 8736   13677      0  -512 -1992 -1061     0     0   115  -109     0  -194  -124     0     0    10   153
 9021   11524      0  -455 -1807 -1000     0     0    66   -88     0  -145  -125     0     0    37    93
 9340    9631      0  -327 -1596  -847     0     0   111   -41     0   -94  -117     0     0    -4    53
 9698    7993      0  -166 -1292  -865     0     0   126    -6     0   -97  -162     0     0    39    45
10103    6580      0   -89 -1247  -844     0     0   122    21     0  -117  -165     0     0    15    63
10562    5368      0   -85  -986  -759     0     0   178    76     0     1  -109     0     0   -42    69
11086    4335      0  -109  -842  -665     0     0   257   126     0   -66   -97     0     0   -79    -3
